primary_artist,country,songs,plays
Etienne de Crecy,FR,2,118
Jacques Dutron,FR,3,118
Veorra,US,1,118
Dusty Springfield,GB,3,117
Jason Derulo,US,2,117
Jean Leloup,CA,2,117
Never Dull,US,1,117
SebastiAn Ingrosso,SE,2,117
The Four Tops,US,2,117
Gotan Project,FR,2,116
Patterns,FR,1,116
Pretty Lights,US,1,116
Richard Wagner,DE,1,116
Soolking,DZ,1,116
Vanessa Paradis,FR,1,116
Wolfgang Gartner,US,3,116
Dusty Kid,IT,4,115
Michel Polnareff,FR,1,115
Omer Adam,,1,115
Shakedown,FR,1,115
The Avalanches,AU,1,115
Weird Al Yankovich,US,2,115
Blackguyrandy,JP,1,114
Sabrina Carpenter,US,2,114
Nightriders,FR,1,113
Shawn Mendes,CA,2,113
Vianney,FR,1,113
Phoenix,FR,3,112
Swum,IL,1,112
Crystal Atlantic,US,1,111
Gotye,AU,2,111
Jefferson Airplane,US,2,111
Riton,GB,2,111
Sarcastic Sounds,CA,1,111
Spencer hunt,US,1,111
Alphaville,DE,2,110
Childish Gambino,US,2,110
Pharrell Williams,US,3,110
White Town,GB,1,110
Danny Brilliant,FR,1,109
Gnarls Barkley,US,3,109
Hardwell,NL,4,109
The Chemical Brothers,GB,2,109
Al Stewart,GB,1,108
Angèle,FR,2,108
Backstreet Boys,US,3,108
Duke Dumont,GB,2,108
Peggy Gou,KR,1,108
The Baseballs,DE,1,108
The Magnetic Fields,US,1,108
Watsky,US,2,108
Adam K,CA,1,107
Edmofo,RU,1,107
Modjo,FR,2,107
Yann Dulché,,1,107
A1st,FR,1,106
Akon,US,2,106
Axwell,SE,3,106
Cherokee,FR,4,106
Mylene Farmer,FR,2,106
SebastiAn,FR,4,106
Skibblez & My NamE,CA,1,106
Young the Giant,US,1,106
Billie Eilish,US,2,105
I'm Surf,NO,1,105
Kartell,FR,4,105
Michel Legrand,FR,1,105
Watermät,FR,1,105
Band Aid,GB,1,104
Cascada,DE,3,104
Dalida y Alain Delon,FR,1,104
"Daft Punk, Julian Casablancas & The Voidz",FR,1,103
Jen(Artist),NL,1,103
Jishle,US,1,103
Kavinsky,FR,2,103
Naïka,FR,1,103
Styx,US,1,103
Terry Jacks,CA,1,103
The Prodigy,GB,2,103
Victoria Duffield,CA,1,103
Carl Carlton,US,1,102
Electric Guest,US,2,102
Johve,DK,1,102
Le Nonsense,IT,2,102
Ludacris,US,3,102
Madeon,FR,2,102
Steve Reich,US,1,102
The Killers,US,2,102
Topic & Bebe Rexha,US,1,102
Travis Scott,US,2,102
Vector Graphics,US,1,102
Breakbot,FR,4,101
Camellia,JP,2,101
Claptone,DE,1,101
Dreamboy 84,US,1,101
Elektronomia,SE,1,101
Huey Lewis & The News,US,3,101
Real California Milk,MX,1,101
Diam's,FR,7,100
Fantompower,US,1,100
KDD,FR,1,100
P!nk,US,2,100
Shaga,FR,1,100
Bob Marley,JM,6,99
Galantis,SE,1,99
Harry Styles,GB,4,99
Heizzah,FI,1,99
Hugh Atkin,AU,1,99
Kygo,NO,2,99
Mell-o,US,1,99
No Buses,JP,1,99
Soitchy,US,1,99
Soulitune,KR,2,99
Stevie Wonder,US,4,99
Tony Stocker,AU,1,99
Caravan Palace,FR,1,98
