year_added,primary_artist,songs,plays
2024,Paul McCartney & The Wings,1,26
2024,Sade,1,26
2024,The Outfield,1,26
2024,Eliza Rose,1,25
2024,Minnie Riperton,1,25
2024,Richard Sanderson,1,25
2024,Roger Sanchez,1,25
2024,Death From Above 1979,1,24
2024,Mark Morrison,1,24
2024,Parvati Khan,1,24
2024,Regrets,1,24
2024,Spargo,1,24
2024,Tensnake & Purple Disco Machine,1,24
2024,The Pointer Sisters,1,24
2024,Tiga,1,24
2024,Chris Norman & Suzi Quatro,1,23
2024,DB Boulevard,1,23
2024,Fred again..,1,23
2024,Alain Souchon,1,22
2024,Jennifer Lopez,1,22
2024,Alain Bashung,1,21
2024,Francoise Hardy,1,21
2024,George Benson,1,21
2024,Hot Chelle Rae,1,21
2024,Madonna,1,21
2024,The Beatles,1,21
2024,Tyla (Artist),1,21
2024,Digitalism,1,20
2024,Elli et Jacno,1,20
2024,Fugees,1,20
2024,Laurie destal,1,20
2024,Loleatta Holloway,1,20
2024,RÜFÜS DU SOL,1,20
2024,Zimmer90,1,20
2024,Dusty Springfield,1,19
2024,First Choice,1,19
2024,Lenny Kravitz,1,19
2024,Baccara,1,18
2024,Pitbull,1,18
2024,Talking Heads,1,18
2024,Tujamo,1,18
2024,Bonobo,1,17
2024,Eartha Kitt,1,17
2024,Kasso,1,17
2024,Miike Snow,1,17
2024,Cilla Black,1,16
2024,Donna Summer,1,16
2024,East Coast,1,16
2024,Interview,1,16
2024,Michel Berger,1,16
2024,STRFKR,1,16
2024,Alanis Morissette,1,15
2024,CTID,1,15
2024,Ghost,1,15
2024,Howard Jones,1,15
2024,La Bouche,1,15
2024,Ottowan,1,15
2024,Patrice Rushen,1,15
2024,Princess Chelsea,1,15
2024,Jean Schultheis,1,14
2024,Crystal Castles,1,13
2024,Friendly Fires,1,13
2024,George Harrison,1,13
2024,Japanese Breakfast,1,13
2024,Minako Yoshida,1,13
2024,Silver Convention,1,13
2024,Ten Walls,1,13
2024,Van Halen,1,13
2024,Wallace Collection,1,13
2024,Young-Holt Unlimited,1,13
2024,Benson Boone,1,12
2024,Diana Ross,1,12
2024,Eddie Johns,1,12
2024,Seelenluft,1,12
2024,Crystal Waters,1,11
2024,Lee Greenwood,1,11
2024,Peggy March,1,11
2024,RJD2,1,11
2024,Dj Snake,1,10
2024,Jean-Jacques Goldman,1,10
2024,Sabrina Carpenter,1,10
2024,VØJ & Narvent,1,10
2023,Daft Punk,21,470
2023,Polo & Pan,3,263
2023,Cigarettes After Sex,2,210
2023,Anri,1,197
2023,Simple Plan,1,189
2023,MACROSS 82-99,1,188
2023,Last Dinosaurs,2,185
2023,FIFTY FIFTY (피프티피프티),1,175
2023,Riton & Kah-Lo & Empire of the Sun,1,172
2023,Toshiki Kadomatsu,2,169
2023,Bon Entendeur,1,165
2023,Kylie Minogue,1,159
2023,Masayoshi Takanaka,1,157
2023,Vegedream,1,155
2023,L'Algerino,1,150
2023,Fifty Fifty,1,145
2023,Vantage,3,141
2023,Tseba,1,139
2023,Wink,1,137
2023,Clara Luciani,1,136
2023,Imanbek & BYOR,1,133
2023,La Caution,1,130
2023,Bigflo & Oli & Julien Dorée,1,124
2023,Grouplove,1,124
2023,Dua Lipa,2,115
2023,Edmofo,1,107
2023,Thomas Bangalter & Dj Falcon,3,104
2023,"Daft Punk, Julian Casablancas & The Voidz",1,103
2023,Meiko Nakahara,2,103
2023,Styx,1,103
2023,Camellia,2,101
2023,Harry Styles,4,99
2023,Hugh Atkin,1,99
2023,Aden Foyer,1,97
2023,DaJugglingFool,1,95
2023,Dayglow,1,94
2023,Choices,1,90
2023,Nanidato,1,90
2023,Put Put,1,90
2023,Tame Impala,1,89
2023,Yung Bae,1,89
2023,Dalida,1,82
2023,Lola Marsh,1,82
2023,Mere Notilde,1,82
2023,U2,1,79
2023,AnTgry,1,77
2023,The Dinosaurs Skin,1,77
2023,442oons,1,76
2023,David Guetta,1,75
2023,Jean Jacques Goldman,1,74
2023,Lady Gaga,1,74
2023,Dertay,1,73
2023,The Offspring,1,73
2023,Desired,1,71
2023,Saint Motel,1,71
2023,Omega Tribe,1,70
2023,McFadden & Whitehead,1,68
2023,Cavi,1,67
2023,Lady GaGa,1,65
2023,Zai Kowen,1,65
2023,Freeze Corleone 667,1,63
2023,BØRNS,2,62
2023,Disclosure,1,62
2023,The Lonely Island,1,59
2023,Flamingosis,1,58
2023,Cannons,1,57
2023,Dominic Pierce,1,57
2023,Joy Crookes,1,57
2023,Kungs,1,57
2023,Louise Attaque,1,55
2023,Baby Queen,1,54
2023,Carte Blanq & Maxx Power,1,54
2023,Red Axes,1,54
2023,Goomar & GrandHuit,1,51
2023,Nocti,1,51
2023,Sure Sure,1,51
2023,Eddy de Pretto,1,50
2023,Olav Swarowsky,1,50
2023,Stevie Nicks,1,50
2023,Emma Peters,1,49
2023,OrelSan & Angele,1,49
2023,Christian Gaubert,1,48
2023,"Daft Punk, Pharrell Williams & Nile Rodgers",2,48
2023,Kali Uchis,1,48
2023,Marshmello & Khalid,1,48
2023,Nicki Minaj,1,46
2023,Paul McCartney & Tatsuro Yamashita,1,46
2023,Afrojack,1,44
2023,MAGIC,1,44
2023,Yelle,1,44
2023,Bambee,1,42
2023,Keren Ann,1,42
2023,Miley Cyrus,1,42
2023,Aya Nakamura,1,40
2023,Junko Ohashi,2,40
2023,OneRepublic,2,40
2023,Saint Privat,1,40
2023,Tatsuro Yamashita,1,40
2023,Mami Ayukawa,1,39
2023,Backstreet Boys,1,38
2023,Neil Young,1,38
2023,Claude Nougaro,1,37
2023,Pedro Santos,1,37
2023,Fitz,2,36
2023,Kim Petras,1,36
2023,The Weeknd,1,36
2023,Yakosei Amuse,1,36
2023,Avril Lavigne,1,35
2023,Blue Rain Boots,1,35
2023,Drake,1,35
2023,Avicii,1,34
2023,Duke Dumont,1,34
2023,SAINt JHN & Imanbek,1,34
2023,Blondie,1,33
2023,Joe Dassin,1,33
2023,Naaz,1,33
2023,Neon Trees,1,33
2023,Borgore,1,32
2023,Cass Elliot,1,32
2023,Children of Zeal,1,32
2023,Diana Panton,1,32
2023,Electronic,1,32
2023,Ghost Beach,1,32
2023,Post Malone,1,32
2023,SS501,1,32
2023,Stacey Kent,1,32
2023,Trevor Daniel,1,32
2023,Coralie Clément,1,31
2023,Else,1,31
2023,Portugal The Man,1,31
2023,Sza,1,31
2023,David Bowie,1,30
2023,Eels,1,30
2023,Linkin Park,1,30
2023,Piper,1,30
2023,Blur,1,29
2023,Carla Bruni,1,29
2023,Dean Martin,2,29
2023,Meric Again & 22 Angels,1,29
2023,The Rubettes,1,29
2023,The Zombies,1,29
2023,Wallows,2,29
2023,Angèle,1,28
2023,Les Trois Accords,1,28
2023,Sergio Mendes,1,28
2023,Trails,1,28
2023,Bronski Beat,1,27
2023,Junior Senior,1,27
2023,Kate Bush,1,27
2023,Metro Boomin,1,27
2023,Nuane (feat. Aritus),1,27
2023,The Blaze,1,27
2023,Brockbeats,1,26
2023,"I, Monster",1,26
2023,Phil Collins,1,26
2023,Camille,1,25
2023,Lil Tay,1,25
2023,Suzy Q,1,25
2023,Tim Dup,1,25
2023,ABBA,1,24
2023,Bastille,1,24
2023,Bonnie Tyler,1,24
2023,Garden City Movement  Lola Marsh,1,24
2023,Loane,1,24
2023,Aurora,1,23
2023,L'Impératrice,1,23
2023,Lifelike,1,23
2023,Purple Disco Machine,1,23
2023,Sam Smith,1,23
2023,Seb,1,23
2023,The Doozers,1,23
2023,Tommy McCook,1,22
2023,Dresage &  Slow Shiver,1,21
2023,Feirtag,1,21
2023,Kaoru Akimoto & Night Tempo,1,21
2023,Louis Prima,1,21
2023,The B-52s,1,21
2023,The Chordettes,1,21
2023,Austin Millz,1,20
2023,Cerrone,1,20
2023,Clean Bandit,1,20
2023,Sleepy Souls,1,20
2023,ACRAZE,1,19
2023,Bob Dylan,1,19
2023,Doja Cat,1,19
2023,Gym Class Heroes,1,19
2023,Shocking Blue,1,19
2023,Trinidad Cardona DaVido Aisha,1,19
2023,Delegation,1,18
2023,The Heavy,1,18
2023,Claire Rosinkranz,1,17
2023,Momoko Kikuchi,1,17
2023,The Clash,1,17
2023,The Pussycat Dolls,1,17
2023,Conan Gray,1,16
2023,Riize,1,16
2023,The Cure,1,16
2023,Hensonn,1,15
2023,Paul Anka,1,15
2023,The Neighbourhood,1,14
2023,Buddy Holly,1,13
2023,Doechii,1,13
2023,Selena Gomez,1,13
2023,Shaka Ponk,1,12
2023,Lowfi Ghostie,1,11
2022,Tatsuro Yamashita,7,862
2022,Anri,6,785
2022,Yung Bae,2,312
2022,Vantage,2,284
2022,Desired,3,258
2022,Miki Matsubara,2,251
2022,nawhij,6,245
2022,Mere Notilde,1,219
