artist_raw,primary_artist,songs,plays
Calogero,Calogero,6,656
Calvin Harris,Calvin Harris,9,407
Calvin Harris & John Newman,Calvin Harris,1,206
Calvin Harris & Dua Lipa,Calvin Harris,1,180
Camellia,Camellia,2,101
Camila Cabello,Camila Cabello,1,44
Camille,Camille,1,25
Candid,Candid,1,84
Cannons,Cannons,1,57
Capital Cities,Capital Cities,1,64
Caravan Palace,Caravan Palace,1,98
Cardigans,Cardigans,1,24
Carl Carlton,Carl Carlton,1,102
Carl Douglas,Carl Douglas,1,12
Carla Bruni,Carla Bruni,2,59
Carte Blanq & Maxx Power,Carte Blanq & Maxx Power,1,54
Cartoon Network,Cartoon Network,2,56
Cascada,Cascada,3,104
Cass Elliot,Cass Elliot,1,32
Cassius,Cassius,4,229
Cassius & Horalion,Cassius,1,58
Castlecomer,Castlecomer,1,13
Cavi,Cavi,1,67
Cazzette,Cazzette,1,41
Cee Lo Green,Cee Lo Green,3,69
Cerrone,Cerrone,1,183
Cerrone & Purple Disco Machine,Cerrone,1,20
Ceruleancerise,Ceruleancerise,1,85
Cesaria Evora,Cesaria Evora,1,17
Cevin Fisher,Cevin Fisher,1,147
Chamillionaire & Krayzie Bone,Chamillionaire,1,27
Chamillionaire,Chamillionaire,2,18
Chance The Rapper,Chance The Rapper,2,61
Channel Tres,Channel Tres,1,39
Chappell Roan,Chappell Roan,2,46
Charles Aznavour,Charles Aznavour,10,1002
Charles Trenet,Charles Trenet,2,119
Charli XCX,Charli XCX,1,45
Charlie Faron,Charlie Faron,1,65
Charlie Puth,Charlie Puth,1,128
Charlotte Cardin,Charlotte Cardin,1,73
Cheb Khaled feat Pitbull,Cheb Khaled,1,193
Cheb Khaled,Cheb Khaled,2,177
Cheb Mami & Sting,Cheb Mami & Sting,1,43
Chemical Brothers & Daft Punk,Chemical Brothers & Daft Punk,1,29
Cher Lloyd,Cher Lloyd,1,36
Cherie,Cherie,1,66
Cherokee,Cherokee,4,106
Cherub,Cherub,1,23
Chet Baker,Chet Baker,1,5
Chet Faker and Kaytranada,Chet Faker,1,16
Chic (Band),Chic (Band),2,21
Chicago,Chicago,20,3150
Chief Keef,Chief Keef,1,6
Childhood,Childhood,1,334
Childish Gambino,Childish Gambino,2,110
Children of Zeal,Children of Zeal,1,32
Chinese Man,Chinese Man,1,14
Chloe Lilac,Chloe Lilac,1,44
Choices,Choices,1,90
Chris Brown,Chris Brown,4,87
Chris Isaak,Chris Isaak,2,66
Chris Manias & Daft Punk,Chris Manias & Daft Punk,1,41
Chris Norman & Suzi Quatro,Chris Norman & Suzi Quatro,1,23
Chris Webby,Chris Webby,4,97
Christian Gaubert,Christian Gaubert,1,48
"Christina Aguilera, Lil'Kim, Mya & P!nk","Christina Aguilera, Lil'Kim, Mya & P!nk",1,13
Christophe,Christophe,1,54
Christophe Maé,Christophe Maé,2,59
Christophe Willem,Christophe Willem,1,22
Chromatics,Chromatics,1,26
Chromeo,Chromeo,8,278
Chuck Berry,Chuck Berry,2,130
Chumbawamba,Chumbawamba,1,17
