artist,country
Cigarettes After Sex & Klesh,US
Cilla Black,GB
Cirque du Soleil,CA
Claire Laffut,FR
Claire Rosinkranz,US
Claptone,DE
Clara Luciani,FR
Claude François,FR
Claude François & Fred Falke,FR
"Claude François, Frédérique",FR
"Claude François, G. Thibault, J. Revaux & Paul Anka",FR
Claude Nougaro,FR
Clean Bandit,GB
Clean Bandit & Demi Lovato,US
Clio,FR
Cobra Starship,US
Coke Royalty,US
Colbie Caillat,US
Cold(Artist),US
Coldplay,GB
Coldplay & BTS,KR
Coldplay / Mathew Heyer,FR
Coldplay/Rogue,GB
College ft. Electric Youth,FR
Collegehumor,US
Conan Gray,US
Connie Francis,US
Cookie Dingler,FR
Coolio,US
Coolio featuring L.V.,US
Coralie Clément,FR
Corey Hart,CA
Counting Crows,US
Cour De Recré,FR
Crazy Frog,SE
Crazy Girl & Memphis,FR
Crazy Town,US
Creed,US
Creedence Clearwater Revival,US
Cro,DE
Crystal Atlantic,US
Crystal Castles,CA
Crystal Waters,US
Culture Club,GB
Cut Copy,AU
Cut Killer,FR
Cyndi Lauper,US
Cypress Hill,US
D12,US
DB Boulevard,IT
DEEJMD,GR
DIMMI,FR
DIVA FAUNE x STEPHANE,FR
"DJ Alex Man, PHURS, Andreea Flavia",RO
DJ Antoine,CH
DJ Antoine & Timati,CH
DJ BOBO,CH
DJ Earthworm,US
DJ Fresh,US
DJ Khaled feat. Rihanna,US
DJ Mehdi,FR
DJ Sammy & Yanou featuring Do,ES
DNCE,US
DVBBS & Borgeous,CA
DaJugglingFool,US
Dada Life,SE
Daddy DJ,FR
Daddy Yankee,US
Daft Punk,FR
Daft Punk & Jay Z,FR
Daft Punk & Julian Casablancas,FR
Daft Punk & Michael Jackson,FR
Daft Punk & Panda Bear,FR
Daft Punk & Paul Mund,FR
Daft Punk & Paul Williams,FR
Daft Punk & Pharrell Williams,FR
Daft Punk & Queen,FR
Daft Punk & The Weeknd,FR
Daft Punk & Todd Edwards,FR
Daft Punk (Thomas Bangalter & DJ Falcon as Together),FR
Daft Punk Vs The World,FR
Daft Punk and Dillon Francis,FR
Daft Punk and Giorgio Moroder,FR
Daft Punk vs Justice,FR
"Daft Punk, Julian Casablancas & The Voidz",FR
"Daft Punk, Pharrell Williams & Nile Rodgers",FR
Dagny,NO
Dalida,FR
Dalida y Alain Delon,FR
Damn Arms,AU
Damso,FR
Danger,FR
Dania Bartolomeo,FR
Daniel Balavoine,FR
Daniel Guichard,FR
Daniel Powter,CA
Daniele Vitale Sax,IT
Danny Brilliant,FR
Dansu,NL
Danzel,BE
Darius,FR
Darude,FI
Darude/Ville Virtanen,SE
Das Tapes,US
Dave Loggins,US
David Bowie,GB
David Bowie & Queen,GB
David Cassidy,US
David Gates,US
David Guetta,FR
David Guetta & Bebe Rhexa,FR
David Guetta & Chris Willis,FR
David Guetta & OneRepublic,FR
David Guetta & Usher,FR
David Guetta featuring JD Davis,FR
David Guetta vs Madonna,FR
David Lee Roth,US
David Tavaré,ES
Davioux and Desired,HK
Dayglow,US
Daze,FR
De Palmas,FR
De Soffer & Les Bisous,FR
Dead or Alive,GB
Deadmau5,CA
Dean Martin,US
Death From Above 1979,CA
Declan McKenna,GB
Deep Purple,GB
Degiheugi,FR
Del Amitri,GB
Delegation,GB
Demon,FR
Deorro,US
Depeche Mode,GB
Derek & The Dominos,GB
Dertay,FR
Desiigner,US
Desire,FR
Desired,RU
Desireless,FR
Destiny's Child,US
Dev,US
Devendra Banhart,US
Devin & Solange & Foxxy Cleopatra,CA
Diam's,FR
Diam's & Vitaa,FR
Diana Panton,FR
Diana Ross,US
Dickie Goodman,US
Dido,GB
Die Atzen,DE
Die Woodys,DE
Digital Underground,US
Digitalism,DE
Dillon Francis & DJ Snake,FR
Dim Zach,GR
Dimitri from Paris,FR
Dion,US
Diplo,US
Diplo and GTA,US
Dire Straits,GB
Disclosure,GB
Discobitch,FR
Disiz,FR
Disney,US
Divinyls,AU
Dizzee Rascal,GB
Dj Antoine & The Beat Shakers,CH
Dj Dark & MD Dj,RO
Dj Snake,FR
Djeko & Torres,NL
Djo,US
Dobie Gray,US
Doechii,US
Doja Cat,US
Doja Cat & The Weeknd,US
Dolly Parton,US
Dominic Pierce,FR
Don McLean,US
Don Omar,FR
Donavan,US
Donavans,FR
Donna Summer,US
Donny Electric,US
Donovan,US
Doobie Brothers,US
Doves,GB
Dr. Dre,US
Drake,CA
Drake Bell,US
Dreamboy 84,US
Dresage & Slow Shiver,US
Dropkick Murphys,US
